股票代码,截止日期,股票名称,行业,上市时间,市盈率-动态,市净率,总市值,流通市值
688009,2019-07-22,中国通号,交运设备,20190722,19.02,1.26,57926309930.0,47156968460.0
601236,2019-07-05,红塔证券,证券,20190705,32.98,1.54,38017309201.0,38017309201.0
601698,2019-06-28,中国卫通,通信服务,20190628,392.18,9.42,149416512022.0,149416512022.0
300782,2019-06-18,卓胜微,半导体,20190618,-173.78,3.95,39559049492.0,33147904104.0
600989,2019-05-16,宝丰能源,化学原料,20190516,14.15,3.68,168887280800.0,168887280800.0
601865,2019-02-15,福莱特,光伏设备,20190215,45.83,1.8,38962098275.0,31614049625.0
300759,2019-01-28,康龙化成,医疗服务,20190128,36.11,3.76,54934780477.0,42458955425.0
601319,2018-11-16,中国人保,保险,20181116,6.29,1.26,392709036377.0,315220078457.0
300760,2018-10-16,迈瑞医疗,医疗器械,20181016,22.32,5.73,225235237763.0,225228591842.0
002938,2018-09-18,鹏鼎控股,电子元件,20180918,39.47,3.88,126704668535.0,126230938459.0
601066,2018-06-20,中信建投,证券,20180620,19.71,2.31,186315809024.0,156026018261.0
300750,2018-06-11,宁德时代,电池,20180611,25.5,5.31,1667360220756.0,1555118128145.0
601138,2018-06-08,工业富联,消费电子,20180608,36.26,7.02,1087236219010.0,1087236219010.0
603259,2018-05-08,药明康德,医疗服务,20180508,18.89,4.29,304074691666.0,252051989870.0
601838,2018-01-31,成都银行,银行,20180131,5.45,0.81,69001727596.0,69001727596.0
603659,2017-11-03,璞泰来,电池,20171103,26.66,3.06,60417365869.0,60417365869.0
603501,2017-05-04,豪威集团,半导体,20170504,34.12,5.32,146045579567.0,140168745365.0
002920,2017-12-26,德赛西威,汽车零部件,20171226,30.71,5.0,73190812207.0,68028395047.0
001965,2017-12-25,招商公路,铁路公路,20171225,12.19,0.98,65232911923.0,65232911923.0
002916,2017-12-13,深南电路,电子元件,20171213,51.62,8.97,160074149825.0,156230220750.0
600025,2017-12-15,华能水电,电力行业,20171215,16.72,2.45,168052470198.0,162360000000.0
603260,2017-10-30,合盛硅业,非金属材料,20171030,-132.36,1.77,56722289029.0,56722289029.0
603986,2016-08-18,兆易创新,半导体,20160818,149.85,11.83,216430326624.0,206163685438.0
601878,2017-06-26,浙商证券,证券,20170626,19.13,1.32,48253554541.0,48253554541.0
300661,2017-06-06,圣邦股份,半导体,20170606,95.09,8.87,43516640335.0,41735529401.0
603833,2017-03-28,欧派家居,装修建材,20170328,14.61,1.88,35690266478.0,35690266478.0
300628,2017-03-17,亿联网络,通信设备,20170317,17.52,5.27,45754319638.0,26212180950.0
002812,2016-09-14,恩捷股份,电池,20160914,-550.43,2.52,63353198837.0,53059908351.0
601881,2017-01-23,中国银河,证券,20170123,11.09,1.4,162157185456.0,107419883349.0
002129,2015-04-23,TCL中环,光伏设备,20070420,-5.42,1.66,41724954777.0,41693210664.0
601229,2016-11-16,上海银行,银行,20161116,5.88,0.59,141663830398.0,141663830398.0
600926,2016-10-27,杭州银行,银行,20161027,6.18,0.72,117651311354.0,117651311354.0
600745,2015-04-20,闻泰科技,半导体,19960828,20.47,1.22,41297541448.0,41297541448.0
000792,2015-04-20,盐湖股份,化肥行业,19970904,29.67,4.34,178114331730.0,178113295170.0
600919,2016-08-02,江苏银行,银行,20160802,4.68,0.75,190670261171.0,190670261171.0
002252,2015-04-20,上海莱士,生物制品,20080623,21.12,1.28,41421025383.0,41399215179.0
601127,2016-06-15,赛力斯,汽车整车,20160615,26.86,6.97,190259611093.0,164898411119.0
600515,2015-04-20,海南机场,航空机场,20020806,596.56,2.17,51185387017.0,41108536036.0
300413,2015-04-20,芒果超媒,文化传媒,20150121,36.25,2.12,49106421394.0,26819623898.0
300502,2016-03-03,新易盛,通信设备,20160303,43.14,25.06,363916749216.0,324160798417.0
600346,2015-04-20,恒力石化,化纤行业,20010820,25.83,2.68,172950681742.0,172950681742.0
002049,2015-04-21,紫光国微,半导体,20050606,39.1,5.02,65837414671.0,65825657501.0
